"","Date","hour","temperature","Year","month","day","Day Of Week","Weekday","PeakHour"
"1",2014-12-01,0,51.98,2014,12,1,0,1,0
"2",2014-12-01,1,51.98,2014,12,1,0,1,0
"3",2014-12-01,2,51.08,2014,12,1,0,1,0
"4",2014-12-01,3,51.08,2014,12,1,0,1,0
"5",2014-12-01,4,51.08,2014,12,1,0,1,0
"6",2014-12-01,5,51.08,2014,12,1,0,1,0
"7",2014-12-01,6,50,2014,12,1,0,1,0
"8",2014-12-01,7,53.06,2014,12,1,0,1,1
"9",2014-12-01,8,55.94,2014,12,1,0,1,1
"10",2014-12-01,9,60.08,2014,12,1,0,1,1
"11",2014-12-01,10,60.08,2014,12,1,0,1,1
"12",2014-12-01,11,62.06,2014,12,1,0,1,1
"13",2014-12-01,12,62.96,2014,12,1,0,1,1
"14",2014-12-01,13,60.98,2014,12,1,0,1,1
"15",2014-12-01,14,57.92,2014,12,1,0,1,1
"16",2014-12-01,15,55.04,2014,12,1,0,1,1
"17",2014-12-01,16,53.06,2014,12,1,0,1,1
"18",2014-12-01,17,51.08,2014,12,1,0,1,1
"19",2014-12-01,18,48.92,2014,12,1,0,1,1
"20",2014-12-01,19,48.02,2014,12,1,0,1,1
"21",2014-12-01,20,46.94,2014,12,1,0,1,0
"22",2014-12-01,21,42.98,2014,12,1,0,1,0
"23",2014-12-01,22,41,2014,12,1,0,1,0
"24",2014-12-01,23,39.02,2014,12,1,0,1,0
"25",2014-12-02,0,37.94,2014,12,2,1,1,0
"26",2014-12-02,1,37.04,2014,12,2,1,1,0
"27",2014-12-02,2,35.96,2014,12,2,1,1,0
"28",2014-12-02,3,35.06,2014,12,2,1,1,0
"29",2014-12-02,4,35.06,2014,12,2,1,1,0
"30",2014-12-02,5,33.98,2014,12,2,1,1,0
"31",2014-12-02,6,33.98,2014,12,2,1,1,0
"32",2014-12-02,7,33.08,2014,12,2,1,1,1
"33",2014-12-02,8,33.08,2014,12,2,1,1,1
"34",2014-12-02,9,33.98,2014,12,2,1,1,1
"35",2014-12-02,10,35.06,2014,12,2,1,1,1
"36",2014-12-02,11,37.04,2014,12,2,1,1,1
"37",2014-12-02,12,37.04,2014,12,2,1,1,1
"38",2014-12-02,13,37.04,2014,12,2,1,1,1
"39",2014-12-02,14,37.04,2014,12,2,1,1,1
"40",2014-12-02,15,37.22,2014,12,2,1,1,1
"41",2014-12-02,16,35.96,2014,12,2,1,1,1
"42",2014-12-02,17,35.96,2014,12,2,1,1,1
"43",2014-12-02,18,36.68,2014,12,2,1,1,1
"44",2014-12-02,19,37.04,2014,12,2,1,1,1
"45",2014-12-02,20,37.67,2014,12,2,1,1,0
"46",2014-12-02,21,39.02,2014,12,2,1,1,0
"47",2014-12-02,22,39.32,2014,12,2,1,1,0
"48",2014-12-02,23,41,2014,12,2,1,1,0
"49",2014-12-03,0,42.89,2014,12,3,2,1,0
"50",2014-12-03,1,43.82,2014,12,3,2,1,0
"51",2014-12-03,2,44.96,2014,12,3,2,1,0
