"","X","hour","temperature","Date","Year","month","day","Day.Of.Week","Weekday","PeakHour","kWh"
"1",1,18,70,"2016-06-13",2016,6,13,0,1,1,107.170377207944
"2",2,19,70,"2016-06-13",2016,6,13,0,1,1,107.170377207944
"3",3,20,69,"2016-06-13",2016,6,13,0,1,0,107.170377207944
"4",4,21,67,"2016-06-13",2016,6,13,0,1,0,107.170377207944
"5",5,22,65,"2016-06-13",2016,6,13,0,1,0,107.170377207944
"6",6,23,63,"2016-06-13",2016,6,13,0,1,0,107.170377207944
"7",7,0,61,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"8",8,1,60,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"9",9,2,59,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"10",10,3,58,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"11",11,4,57,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"12",12,5,56,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"13",13,6,56,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"14",14,7,58,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"15",15,8,61,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"16",16,9,64,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"17",17,10,67,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"18",18,11,69,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"19",19,12,71,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"20",20,13,73,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"21",21,14,75,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"22",22,15,75,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"23",23,16,75,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"24",24,17,75,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"25",25,18,74,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"26",26,19,73,"2016-06-14",2016,6,14,1,1,1,107.170377207944
"27",27,20,71,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"28",28,21,68,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"29",29,22,66,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"30",30,23,65,"2016-06-14",2016,6,14,1,1,0,107.170377207944
"31",31,0,64,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"32",32,1,63,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"33",33,2,62,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"34",34,3,61,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"35",35,4,61,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"36",36,5,60,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"37",37,6,61,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"38",38,7,65,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"39",39,8,68,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"40",40,9,71,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"41",41,10,74,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"42",42,11,76,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"43",43,12,77,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"44",44,13,78,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"45",45,14,78,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"46",46,15,79,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"47",47,16,79,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"48",48,17,78,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"49",49,18,77,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"50",50,19,75,"2016-06-15",2016,6,15,2,1,1,107.170377207944
"51",51,20,74,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"52",52,21,72,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"53",53,22,70,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"54",54,23,69,"2016-06-15",2016,6,15,2,1,0,107.170377207944
"55",55,0,68,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"56",56,1,67,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"57",57,2,65,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"58",58,3,63,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"59",59,4,62,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"60",60,5,61,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"61",61,6,61,"2016-06-16",2016,6,16,3,1,0,107.170377207944
"62",62,7,64,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"63",63,8,68,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"64",64,9,71,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"65",65,10,74,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"66",66,11,76,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"67",67,12,76,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"68",68,13,77,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"69",69,14,77,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"70",70,15,77,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"71",71,16,76,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"72",72,17,75,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"73",73,18,74,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"74",74,19,72,"2016-06-16",2016,6,16,3,1,1,107.170377207944
"75",75,20,71,"2016-06-16",2016,6,16,3,1,0,107.170377207944
