"","X","Date","hour","temperature","Year","month","day","Day.Of.Week","Weekday","PeakHour","kWh"
"1",1,"2014-12-01",0,51.98,2014,12,1,0,1,0,75.8750862782893
"2",2,"2014-12-01",1,51.98,2014,12,1,0,1,0,75.8750862782893
"3",3,"2014-12-01",2,51.08,2014,12,1,0,1,0,75.8750862782893
"4",4,"2014-12-01",3,51.08,2014,12,1,0,1,0,75.8750862782893
"5",5,"2014-12-01",4,51.08,2014,12,1,0,1,0,75.8750862782893
"6",6,"2014-12-01",5,51.08,2014,12,1,0,1,0,75.8750862782893
"7",7,"2014-12-01",6,50,2014,12,1,0,1,0,75.8750862782893
"8",8,"2014-12-01",7,53.06,2014,12,1,0,1,1,122.301742804286
"9",9,"2014-12-01",8,55.94,2014,12,1,0,1,1,122.301742804286
"10",10,"2014-12-01",9,60.08,2014,12,1,0,1,1,122.301742804286
"11",11,"2014-12-01",10,60.08,2014,12,1,0,1,1,122.301742804286
"12",12,"2014-12-01",11,62.06,2014,12,1,0,1,1,122.301742804286
"13",13,"2014-12-01",12,62.96,2014,12,1,0,1,1,122.301742804286
"14",14,"2014-12-01",13,60.98,2014,12,1,0,1,1,122.301742804286
"15",15,"2014-12-01",14,57.92,2014,12,1,0,1,1,122.301742804286
"16",16,"2014-12-01",15,55.04,2014,12,1,0,1,1,129.839707175694
"17",17,"2014-12-01",16,53.06,2014,12,1,0,1,1,129.839707175694
"18",18,"2014-12-01",17,51.08,2014,12,1,0,1,1,129.839707175694
"19",19,"2014-12-01",18,48.92,2014,12,1,0,1,1,129.839707175694
"20",20,"2014-12-01",19,48.02,2014,12,1,0,1,1,129.839707175694
"21",21,"2014-12-01",20,46.94,2014,12,1,0,1,0,75.8750862782893
"22",22,"2014-12-01",21,42.98,2014,12,1,0,1,0,75.8750862782893
"23",23,"2014-12-01",22,41,2014,12,1,0,1,0,75.8750862782893
"24",24,"2014-12-01",23,39.02,2014,12,1,0,1,0,75.8750862782893
"25",25,"2014-12-02",0,37.94,2014,12,2,1,1,0,75.8750862782893
"26",26,"2014-12-02",1,37.04,2014,12,2,1,1,0,75.8750862782893
"27",27,"2014-12-02",2,35.96,2014,12,2,1,1,0,75.8750862782893
"28",28,"2014-12-02",3,35.06,2014,12,2,1,1,0,75.8750862782893
"29",29,"2014-12-02",4,35.06,2014,12,2,1,1,0,75.8750862782893
"30",30,"2014-12-02",5,33.98,2014,12,2,1,1,0,75.8750862782893
"31",31,"2014-12-02",6,33.98,2014,12,2,1,1,0,75.8750862782893
"32",32,"2014-12-02",7,33.08,2014,12,2,1,1,1,122.301742804286
"33",33,"2014-12-02",8,33.08,2014,12,2,1,1,1,122.301742804286
"34",34,"2014-12-02",9,33.98,2014,12,2,1,1,1,122.301742804286
"35",35,"2014-12-02",10,35.06,2014,12,2,1,1,1,122.301742804286
"36",36,"2014-12-02",11,37.04,2014,12,2,1,1,1,122.301742804286
"37",37,"2014-12-02",12,37.04,2014,12,2,1,1,1,122.301742804286
"38",38,"2014-12-02",13,37.04,2014,12,2,1,1,1,122.301742804286
"39",39,"2014-12-02",14,37.04,2014,12,2,1,1,1,122.301742804286
"40",40,"2014-12-02",15,37.22,2014,12,2,1,1,1,129.839707175694
"41",41,"2014-12-02",16,35.96,2014,12,2,1,1,1,129.839707175694
"42",42,"2014-12-02",17,35.96,2014,12,2,1,1,1,129.839707175694
"43",43,"2014-12-02",18,36.68,2014,12,2,1,1,1,129.839707175694
"44",44,"2014-12-02",19,37.04,2014,12,2,1,1,1,129.839707175694
"45",45,"2014-12-02",20,37.67,2014,12,2,1,1,0,75.8750862782893
"46",46,"2014-12-02",21,39.02,2014,12,2,1,1,0,75.8750862782893
"47",47,"2014-12-02",22,39.32,2014,12,2,1,1,0,75.8750862782893
"48",48,"2014-12-02",23,41,2014,12,2,1,1,0,75.8750862782893
"49",49,"2014-12-03",0,42.89,2014,12,3,2,1,0,75.8750862782893
"50",50,"2014-12-03",1,43.82,2014,12,3,2,1,0,75.8750862782893
"51",51,"2014-12-03",2,44.96,2014,12,3,2,1,0,75.8750862782893
"52",52,"2014-12-03",3,44.78,2014,12,3,2,1,0,75.8750862782893
"53",53,"2014-12-03",4,45.14,2014,12,3,2,1,0,75.8750862782893
