"","X","hour","temperature","Date","year","month","day","DayOfWeek","Weekday","PeakHour","Account","tree.pred"
"1",1,18,70,"6/13/2016",2016,6,13,0,1,1,222,"Optimal"
"2",2,19,70,"6/13/2016",2016,6,13,0,1,1,222,"Optimal"
"3",3,20,69,"6/13/2016",2016,6,13,0,1,0,222,"Optimal"
"4",4,21,67,"6/13/2016",2016,6,13,0,1,0,222,"Optimal"
"5",5,22,65,"6/13/2016",2016,6,13,0,1,0,222,"Optimal"
"6",6,23,63,"6/13/2016",2016,6,13,0,1,0,222,"Optimal"
"7",7,0,61,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"8",8,1,60,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"9",9,2,59,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"10",10,3,58,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"11",11,4,57,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"12",12,5,56,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"13",13,6,56,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"14",14,7,58,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"15",15,8,61,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"16",16,9,64,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"17",17,10,67,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"18",18,11,69,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"19",19,12,71,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"20",20,13,73,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"21",21,14,75,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"22",22,15,75,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"23",23,16,75,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"24",24,17,75,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"25",25,18,74,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"26",26,19,73,"6/14/2016",2016,6,14,1,1,1,222,"Optimal"
"27",27,20,71,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"28",28,21,68,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"29",29,22,66,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"30",30,23,65,"6/14/2016",2016,6,14,1,1,0,222,"Optimal"
"31",31,0,64,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"32",32,1,63,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"33",33,2,62,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"34",34,3,61,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"35",35,4,61,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"36",36,5,60,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"37",37,6,61,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"38",38,7,65,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"39",39,8,68,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"40",40,9,71,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"41",41,10,74,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"42",42,11,76,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"43",43,12,77,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"44",44,13,78,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"45",45,14,78,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"46",46,15,79,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"47",47,16,79,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"48",48,17,78,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"49",49,18,77,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"50",50,19,75,"6/15/2016",2016,6,15,2,1,1,222,"Optimal"
"51",51,20,74,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"52",52,21,72,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"53",53,22,70,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"54",54,23,69,"6/15/2016",2016,6,15,2,1,0,222,"Optimal"
"55",55,0,68,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"56",56,1,67,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"57",57,2,65,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"58",58,3,63,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"59",59,4,62,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"60",60,5,61,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"61",61,6,61,"6/16/2016",2016,6,16,3,1,0,222,"Optimal"
"62",62,7,64,"6/16/2016",2016,6,16,3,1,1,222,"Optimal"
"63",63,8,68,"6/16/2016",2016,6,16,3,1,1,222,"Optimal"
"64",64,9,71,"6/16/2016",2016,6,16,3,1,1,222,"Optimal"
