"","X","Date","hour","temperature","year","month","day","DayOfWeek","Weekday","PeakHour","Kwh"
"1",1,"12/1/2014",0,51.98,2014,12,1,0,1,0,"Above_Normal"
"2",2,"12/1/2014",1,51.98,2014,12,1,0,1,0,"Above_Normal"
"3",3,"12/1/2014",2,51.08,2014,12,1,0,1,0,"Above_Normal"
"4",4,"12/1/2014",3,51.08,2014,12,1,0,1,0,"Above_Normal"
"5",5,"12/1/2014",4,51.08,2014,12,1,0,1,0,"Above_Normal"
"6",6,"12/1/2014",5,51.08,2014,12,1,0,1,0,"Above_Normal"
"7",7,"12/1/2014",6,50,2014,12,1,0,1,0,"Above_Normal"
"8",8,"12/1/2014",7,53.06,2014,12,1,0,1,1,"Above_Normal"
"9",9,"12/1/2014",8,55.94,2014,12,1,0,1,1,"Above_Normal"
"10",10,"12/1/2014",9,60.08,2014,12,1,0,1,1,"Above_Normal"
"11",11,"12/1/2014",10,60.08,2014,12,1,0,1,1,"Above_Normal"
"12",12,"12/1/2014",11,62.06,2014,12,1,0,1,1,"Above_Normal"
"13",13,"12/1/2014",12,62.96,2014,12,1,0,1,1,"Above_Normal"
"14",14,"12/1/2014",13,60.98,2014,12,1,0,1,1,"Above_Normal"
"15",15,"12/1/2014",14,57.92,2014,12,1,0,1,1,"Above_Normal"
"16",16,"12/1/2014",15,55.04,2014,12,1,0,1,1,"Above_Normal"
"17",17,"12/1/2014",16,53.06,2014,12,1,0,1,1,"Above_Normal"
"18",18,"12/1/2014",17,51.08,2014,12,1,0,1,1,"Above_Normal"
"19",19,"12/1/2014",18,48.92,2014,12,1,0,1,1,"Above_Normal"
"20",20,"12/1/2014",19,48.02,2014,12,1,0,1,1,"Above_Normal"
"21",21,"12/1/2014",20,46.94,2014,12,1,0,1,0,"Optimal"
"22",22,"12/1/2014",21,42.98,2014,12,1,0,1,0,"Optimal"
"23",23,"12/1/2014",22,41,2014,12,1,0,1,0,"Optimal"
"24",24,"12/1/2014",23,39.02,2014,12,1,0,1,0,"Optimal"
"25",25,"12/2/2014",0,37.94,2014,12,2,1,1,0,"Above_Normal"
"26",26,"12/2/2014",1,37.04,2014,12,2,1,1,0,"Above_Normal"
"27",27,"12/2/2014",2,35.96,2014,12,2,1,1,0,"Above_Normal"
"28",28,"12/2/2014",3,35.06,2014,12,2,1,1,0,"Above_Normal"
"29",29,"12/2/2014",4,35.06,2014,12,2,1,1,0,"Above_Normal"
"30",30,"12/2/2014",5,33.98,2014,12,2,1,1,0,"Above_Normal"
"31",31,"12/2/2014",6,33.98,2014,12,2,1,1,0,"Above_Normal"
"32",32,"12/2/2014",7,33.08,2014,12,2,1,1,1,"Above_Normal"
"33",33,"12/2/2014",8,33.08,2014,12,2,1,1,1,"Above_Normal"
"34",34,"12/2/2014",9,33.98,2014,12,2,1,1,1,"Above_Normal"
"35",35,"12/2/2014",10,35.06,2014,12,2,1,1,1,"Above_Normal"
"36",36,"12/2/2014",11,37.04,2014,12,2,1,1,1,"Above_Normal"
"37",37,"12/2/2014",12,37.04,2014,12,2,1,1,1,"Above_Normal"
"38",38,"12/2/2014",13,37.04,2014,12,2,1,1,1,"Above_Normal"
"39",39,"12/2/2014",14,37.04,2014,12,2,1,1,1,"Above_Normal"
"40",40,"12/2/2014",15,37.22,2014,12,2,1,1,1,"Above_Normal"
"41",41,"12/2/2014",16,35.96,2014,12,2,1,1,1,"Above_Normal"
"42",42,"12/2/2014",17,35.96,2014,12,2,1,1,1,"Above_Normal"
"43",43,"12/2/2014",18,36.68,2014,12,2,1,1,1,"Above_Normal"
"44",44,"12/2/2014",19,37.04,2014,12,2,1,1,1,"Above_Normal"
"45",45,"12/2/2014",20,37.67,2014,12,2,1,1,0,"Optimal"
"46",46,"12/2/2014",21,39.02,2014,12,2,1,1,0,"Optimal"
"47",47,"12/2/2014",22,39.32,2014,12,2,1,1,0,"Optimal"
"48",48,"12/2/2014",23,41,2014,12,2,1,1,0,"Optimal"
"49",49,"12/3/2014",0,42.89,2014,12,3,2,1,0,"Above_Normal"
"50",50,"12/3/2014",1,43.82,2014,12,3,2,1,0,"Above_Normal"
"51",51,"12/3/2014",2,44.96,2014,12,3,2,1,0,"Above_Normal"
"52",52,"12/3/2014",3,44.78,2014,12,3,2,1,0,"Above_Normal"
"53",53,"12/3/2014",4,45.14,2014,12,3,2,1,0,"Above_Normal"
"54",54,"12/3/2014",5,45.23,2014,12,3,2,1,0,"Above_Normal"
"55",55,"12/3/2014",6,37.58,2014,12,3,2,1,0,"Above_Normal"
"56",56,"12/3/2014",7,37.22,2014,12,3,2,1,1,"Above_Normal"
"57",57,"12/3/2014",8,37.94,2014,12,3,2,1,1,"Above_Normal"
"58",58,"12/3/2014",9,39.02,2014,12,3,2,1,1,"Above_Normal"
"59",59,"12/3/2014",10,40.1,2014,12,3,2,1,1,"Above_Normal"
"60",60,"12/3/2014",11,44.06,2014,12,3,2,1,1,"Above_Normal"
"61",61,"12/3/2014",12,46.31,2014,12,3,2,1,1,"Above_Normal"
"62",62,"12/3/2014",13,50,2014,12,3,2,1,1,"Above_Normal"
"63",63,"12/3/2014",14,51.08,2014,12,3,2,1,1,"Above_Normal"
"64",64,"12/3/2014",15,51.44,2014,12,3,2,1,1,"Above_Normal"
"65",65,"12/3/2014",16,50,2014,12,3,2,1,1,"Above_Normal"
"66",66,"12/3/2014",17,50,2014,12,3,2,1,1,"Above_Normal"
"67",67,"12/3/2014",18,50,2014,12,3,2,1,1,"Above_Normal"
"68",68,"12/3/2014",19,49.46,2014,12,3,2,1,1,"Above_Normal"
"69",69,"12/3/2014",20,48.02,2014,12,3,2,1,0,"Optimal"
"70",70,"12/3/2014",21,42.98,2014,12,3,2,1,0,"Optimal"
"71",71,"12/3/2014",22,42.08,2014,12,3,2,1,0,"Optimal"
"72",72,"12/3/2014",23,39.92,2014,12,3,2,1,0,"Optimal"
"73",73,"12/4/2014",0,39.02,2014,12,4,3,1,0,"Above_Normal"
"74",74,"12/4/2014",1,37.94,2014,12,4,3,1,0,"Above_Normal"
"75",75,"12/4/2014",2,37.94,2014,12,4,3,1,0,"Above_Normal"
"76",76,"12/4/2014",3,37.04,2014,12,4,3,1,0,"Above_Normal"
"77",77,"12/4/2014",4,37.04,2014,12,4,3,1,0,"Above_Normal"
"78",78,"12/4/2014",5,33.98,2014,12,4,3,1,0,"Above_Normal"
"79",79,"12/4/2014",6,33.98,2014,12,4,3,1,0,"Above_Normal"
"80",80,"12/4/2014",7,35.06,2014,12,4,3,1,1,"Above_Normal"
"81",81,"12/4/2014",8,37.94,2014,12,4,3,1,1,"Above_Normal"
