"","date","wp1","wp2","wp3","wp4","wp5","wp6","wp7"
"1",2009-07-01 00:00:00,0.045,0.233,0.494,0.105,0.056,0.118,0.051
"2",2009-07-01 01:00:00,0.085,0.249,0.257,0.105,0.066,0.066,0.051
"3",2009-07-01 02:00:00,0.02,0.175,0.178,0.033,0.015,0.026,0
"4",2009-07-01 03:00:00,0.06,0.085,0.109,0.022,0.01,0.013,0
"5",2009-07-01 04:00:00,0.045,0.032,0.079,0.039,0.01,0,0
"6",2009-07-01 05:00:00,0.035,0.011,0.099,0.066,0.015,0.013,0
"7",2009-07-01 06:00:00,0.005,0,0.069,0.105,0.015,0.079,0
"8",2009-07-01 07:00:00,0,0.011,0,0.017,0.025,0.013,0.025
"9",2009-07-01 08:00:00,0,0.016,0,0.017,0.046,0,0
"10",2009-07-01 09:00:00,0.01,0,0,0.006,0.081,0,0
"11",2009-07-01 10:00:00,0.025,0.005,0,0,0.101,0,0
"12",2009-07-01 11:00:00,0.03,0.021,0,0,0.111,0,0
"13",2009-07-01 12:00:00,0.01,0.021,0,0,0.121,0,0
"14",2009-07-01 13:00:00,0,0.026,0,0,0.111,0,0
"15",2009-07-01 14:00:00,0.01,0.021,0,0,0.137,0,0
"16",2009-07-01 15:00:00,0,0.016,0,0,0.106,0,0
"17",2009-07-01 16:00:00,0,0.021,0,0,0.086,0,0
"18",2009-07-01 17:00:00,0,0.016,0,0,0.056,0,0
"19",2009-07-01 18:00:00,0.005,0.032,0,0,0.03,0,0
"20",2009-07-01 19:00:00,0,0.037,0,0.017,0.02,0.013,0
"21",2009-07-01 20:00:00,0,0.048,0,0.05,0,0.013,0
"22",2009-07-01 21:00:00,0,0.058,0,0.033,0.005,0.026,0
"23",2009-07-01 22:00:00,0.005,0.09,0,0.044,0.005,0.013,0
"24",2009-07-01 23:00:00,0.015,0.127,0,0,0.01,0.013,0
"25",2009-07-02 00:00:00,0,0.164,0,0,0,0,0
"26",2009-07-02 01:00:00,0,0.138,0.01,0,0,0,0
"27",2009-07-02 02:00:00,0.01,0.116,0.02,0,0,0,0
"28",2009-07-02 03:00:00,0.01,0.079,0.02,0,0,0,0
"29",2009-07-02 04:00:00,0,0.074,0,0,0,0,0
"30",2009-07-02 05:00:00,0,0.063,0,0,0.02,0,0
"31",2009-07-02 06:00:00,0,0.074,0,0,0.015,0,0
"32",2009-07-02 07:00:00,0,0.058,0,0,0.005,0,0
