"","x"
"1",6526.71090534598
"2",6525.37219601858
"3",6473.93227571957
"4",6469.27640774529
"5",6464.62053977101
"6",6459.96467179673
"7",6487.17521140648
"8",6484.17792275564
"9",6481.18063410481
"10",6478.18334545397
"11",6475.18605680313
"12",6472.1887681523
"13",6470.8500588249
"14",6521.27113979257
"15",6524.9081684355
"16",6528.54519707844
"17",6532.18222572137
"18",6534.16067504086
"19",6536.13912436035
"20",6538.11757367984
"21",6540.09602299933
"22",6538.75731367193
"23",6537.41860434454
"24",6536.07989501714
"25",6533.08260636631
"26",6530.08531771547
"27",6476.98681809301
"28",6470.67237079529
"29",6466.01650282101
"30",6463.01921417018
"31",6491.8883331034
"32",6488.89104445256
"33",6485.89375580172
"34",6482.89646715089
"35",6481.55775782349
"36",6478.56046917265
"37",6478.8803391687
"38",6532.61857878326
"39",6536.25560742619
"40",6539.89263606912
"41",6543.52966471205
"42",6545.50811403154
"43",6545.82798402759
"44",6546.14785402364
"45",6544.80914469624
"46",6545.12901469229
"47",6543.7903053649
"48",6540.79301671406
"49",6537.79572806323
"50",6533.13986008895
"51",6481.69993978993
"52",6477.04407181565
"53",6472.38820384137
"54",6469.39091519053
"55",6498.26003412376
"56",6495.26274547292
"57",6490.60687749864
"58",6485.95100952436
"59",6482.95372087352
"60",6479.95643222269
"61",6478.61772289529
"62",6530.6973831864
"63",6535.99299115278
"64",6539.63001979571
"65",6543.26704843864
"66",6545.24549775813
"67",6543.90678843074
"68",6544.22665842679
"69",6542.88794909939
"70",6541.549239772
"71",6538.55195112116
"72",6535.55466247032
"73",6532.55737381949
"74",6527.90150584521
"75",6476.46158554619
"76",6470.14713824847
"77",6465.49127027419
"78",6462.49398162335
"79",6489.7045212331
"80",6488.36581190571
"81",6485.36852325487
"82",6482.37123460404
"83",6479.3739459532
"84",6478.0352366258
"85",6476.69652729841
"86",6528.77618758952
"87",6530.75463690901
"88",6531.07450690506
"89",6531.39437690111
"90",6530.05566757371
"91",6528.71695824632
"92",6529.03682824237
"93",6526.03953959153
"94",6524.70083026413
"95",6523.36212093674
"96",6522.02341160934
"97",6519.02612295851
"98",6514.37025498423
"99",6462.93033468521
"100",6458.27446671093
"101",6453.61859873666
"102",6452.27988940926
"103",6481.14900834248
"104",6479.81029901509
"105",6478.47158968769
"106",6475.47430103686
"107",6474.13559170946
"108",6472.79688238207
"109",6473.11675237811
"110",6523.53783334578
"111",6527.17486198872
"112",6527.49473198476
"113",6529.47318130425
"114",6529.7930513003
"115",6528.45434197291
"116",6528.77421196895
"117",6527.43550264156
"118",6527.75537263761
"119",6526.41666331021
"120",6525.07795398282
"121",6520.42208600854
"122",6515.76621803426
"123",6462.6677184118
"124",6459.67042976097
"125",6456.67314111013
"126",6455.33443178273
"127",6484.20355071593
"128",6482.86484138853
"129",6479.8675527377
"130",6476.87026408686
"131",6473.87297543602
"132",6470.87568678519
"133",6471.19555678123
"134",6523.27521707234
"135",6526.91224571528
"136",6530.54927435821
"137",6532.5277236777
"138",6534.50617299719
"139",6534.82604299324
"140",6531.8287543424
"141",6528.83146569156
"142",6527.49275636417
"143",6524.49546771333
"144",6523.15675838594
"145",6518.50089041166
"146",6515.50360176082
"147",6460.74652281492
"148",6459.40781348753
"149",6458.06910416013
"150",6456.73039483274
"151",6487.2580930894
"152",6485.91938376201
"153",6484.58067443461
"154",6481.58338578378
"155",6480.24467645638
"156",6478.90596712899
"157",6477.56725780159
"158",6527.98833876926
"159",6533.28394673563
"160",6536.92097537857
"161",6540.5580040215
"162",6540.87787401755
"163",6542.85632333704
"164",6541.51761400964
"165",6541.83748400569
"166",6540.4987746783
"167",6537.50148602746
"168",6534.50419737662
"169",6533.16548804923
"170",6530.16819939839
"171",6478.72827909938
"172",6474.0724111251
"173",6472.7337017977
"174",6469.73641314687
"175",6498.60553208009
"176",6495.60824342925
"177",6494.26953410186
"178",6489.61366612758
"179",6488.27495680018
"180",6486.93624747279
"181",6487.25611746883
"182",6537.6771984365
"183",6541.31422707944
"184",6543.29267639893
"185",6546.92970504186
"186",6550.56673368479
"187",6552.54518300428
"188",6552.86505300033
"189",6551.52634367293
"190",6550.18763434554
"191",6545.53176637126
"192",6542.53447772042
"193",6539.53718906959
"194",6536.53990041875
"195",6483.44140079629
"196",6480.44411214546
"197",6475.78824417118
"198",6471.1323761969
"199",6501.66007445353
"200",6497.00420647925
"201",6494.00691782841
"202",6491.00962917758
"203",6489.67091985018
"204",6488.33221052279
"205",6486.99350119539
"206",6537.41458216306
"207",6541.051610806
"208",6543.03006012549
"209",6545.00850944498
"210",6546.98695876447
"211",6547.30682876051
"212",6547.62669875656
"213",6547.94656875261
"214",6544.94928010177
"215",6541.95199145094
"216",6538.9547028001
"217",6534.29883482582
"218",6531.30154617498
"219",6479.86162587597
"220",6475.20575790169
"221",6470.54988992741
"222",6467.55260127657
