"","x"
"1",2737.92871945604
"2",2737.46947891635
"3",2737.09820771239
"4",2736.81490584417
"5",2736.17972663301
"6",2624.55999080149
"7",2623.92481159033
"8",2623.2456477113
"9",2622.654453168
"10",2634.7145031599
"11",2634.12330861661
"12",2633.53211407331
"13",2632.89693486215
"14",2632.30574031886
"15",2631.71454577556
"16",2631.16733590014
"17",2741.69265198081
"18",2741.27739610899
"19",2740.81815556929
"20",2740.27094569387
"21",2739.72373581844
"22",2739.26449527875
"23",2738.71728540333
"24",2738.21406019577
"25",2737.66685032034
"26",2737.07565577705
"27",2736.48446123375
"28",2735.93725135833
"29",2735.30207214717
"30",2623.68233631564
"31",2623.09114177235
"32",2622.45596256119
"33",2621.86476801789
"34",2633.92481800978
"35",2633.33362346649
"36",2632.7424289232
"37",2632.1512343799
"38",2631.60402450448
"39",2631.01282996118
"40",2630.46562008576
"41",2741.0349208343
"42",2740.5756802946
"43",2740.16042442278
"44",2739.70118388309
"45",2739.2419433434
"46",2738.73871813584
"47",2738.27947759615
"48",2737.77625238859
"49",2737.22904251316
"50",2736.68183263774
"51",2736.13462276231
"52",2735.58741288689
"53",2734.95223367572
"54",2623.3324978442
"55",2622.69731863304
"56",2622.06213942188
"57",2621.47094487859
"58",2633.53099487048
"59",2632.98378499506
"60",2632.39259045176
"61",2631.80139590847
"62",2631.16621669731
"63",2630.61900682188
"64",2630.11578161432
"65",2740.68508236286
"66",2740.31381115891
"67",2739.94253995495
"68",2739.48329941526
"69",2739.06804354344
"70",2738.56481833588
"71",2738.06159312832
"72",2737.47039858503
"73",2736.96717337747
"74",2736.37597883417
"75",2735.74079962301
"76",2735.10562041185
"77",2734.38247186495
"78",2622.71875136556
"79",2622.39146482947
"80",2621.80027028618
"81",2621.20907574289
"82",2633.22514106691
"83",2632.67793119149
"84",2632.08673664819
"85",2631.4955421049
"86",2630.86036289374
"87",2630.26916835044
"88",2629.67797380715
"89",2740.15930521995
"90",2739.65608001239
"91",2739.10887013697
"92",2738.56166026154
"93",2737.97046571825
"94",2737.42325584282
"95",2736.87604596739
"96",2736.2848514241
"97",2735.78162621654
"98",2735.19043167325
"99",2734.59923712995
"100",2734.05202725453
"101",2733.46083271123
"102",2621.88508154758
"103",2621.29388700429
"104",2620.70269246099
"105",2620.15548258557
"106",2632.25951724533
"107",2631.66832270204
"108",2631.12111282661
"109",2630.57390295119
"110",2630.02669307576
"111",2629.47948320033
"112",2628.93227332491
"113",2739.45758940558
"114",2739.04233353375
"115",2738.58309299406
"116",2738.03588311864
"117",2737.53265791108
"118",2737.02943270352
"119",2736.52620749596
"120",2736.06696695627
"121",2735.56374174871
"122",2735.01653187329
"123",2734.46932199786
"124",2733.92211212243
"125",2733.28693291127
"126",2621.75516641548
"127",2621.11998720432
"128",2620.52879266103
"129",2619.93759811773
"130",2632.04163277749
"131",2631.4504382342
"132",2630.90322835877
"133",2630.31203381548
"134",2629.76482394005
"135",2629.21761406463
"136",2628.6704041892
"137",2739.19572026987
"138",2738.78046439805
"139",2738.32122385836
"140",2737.77401398293
"141",2737.27078877537
"142",2736.81154823568
"143",2736.30832302812
"144",2735.80509782056
"145",2735.25788794514
"146",2734.79864740545
"147",2734.25143753002
"148",2733.61625831886
"149",2732.9810791077
"150",2621.36134327618
"151",2620.72616406501
"152",2620.17895418959
"153",2619.58775964629
